Link,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844247/Scholar-by-the-pine;-Calligraphy-1939,Scholar by the pine; Calligraphy,1939,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"51,280","76,920","80,125",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844252/Strolling-in-the-mountains-1949,Strolling in the mountains,1949,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"15,384","23,076","51,280",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844254/Plum-blossoms-1932,Plum blossoms,1932,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"19,230","25,640","72,112",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844256/Begonia-1959,Begonia,1959,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"205,120","282,040","443,572",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844265/Calligraphy-couplet-in-Xingshu-1981,Calligraphy couplet in Xingshu,1981,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"44,870","57,690","56,087",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Shitao-6844297/Landscape-1949,Landscape,1949,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"512,800","769,200","628,180",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844308/Scholar-by-the-pine-1956,Scholar by the pine,1956,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"102,560","153,840","288,450",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844309/Leisurely-encounter-by-the-shore-1965,Leisurely encounter by the shore,1965,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"35,896","44,870","136,212",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844326/Autumn-mountains-in-verdant-mist-1968,Autumn mountains in verdant mist,1968,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"1,025,600","1,538,400","2,781,940",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844338/Scholar-by-the-cliff-1947,Scholar by the cliff,1947,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"51,280","76,920","112,175",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844383/Lingzhi-on-the-rock-1976,Lingzhi on the rock,1976,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"51,280","76,920","64,100",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844405/Vermilion-peony-,Vermilion peony,N/A,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"833,300","1,025,600","1,551,220",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6851265/Landscape-,Landscape,N/A,Works on Paper,"September 16, 2017",Clars Auction Gallery Oakland,Fine Art and Antiques,"7,000","10,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815805/Jing-Ting-mountain-1930,Jing Ting mountain,1930,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"120,000","160,000","200,000",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815844/Fish-1951,Fish,1951,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"50,000","70,000","81,250",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815845/Shrimps-,Shrimps,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"40,000","60,000","52,500",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815851/Landscape-1959,Landscape,1959,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"120,000","180,000","150,000",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815859/Landscape-and-poem-in-running-script-1946,Landscape and poem in running script,1946,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"20,000","40,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815876/Scholar-drinking-wine-1950,Scholar drinking wine,1950,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"80,000","120,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815877/Misty-landscape-1967,Misty landscape,1967,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"80,000","120,000","372,500",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Yao-Yuqin-6815885/Farewell-1949,Farewell,1949,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"10,000","20,000","81,250",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815886/Various-subjects-1949,Various subjects,1949,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"50,000","70,000","125,000",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815888/Lotus-1972,Lotus,1972,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"300,000","500,000","396,500",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815889/Blue-cliff-and-old-tree-,Blue cliff and old tree,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"450,000","650,000","840,500",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815891/Maiden-with-loquat-1934,Maiden with loquat,1934,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"60,000","80,000","75,000",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815893/Maiden-sleeping-,Maiden sleeping,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"25,000","45,000","31,250",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815894/Maiden-1945,Maiden,1945,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"100,000","200,000","125,000",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6831495/Su-Dongpo-holding-an-inkstone-1943,Su Dongpo holding an inkstone,1943,Works on Paper,"September 12, 2017",Christie's New York,Fine Chinese Paintings,"80,000","120,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6831496/Lady-holding-a-cat-1940,Lady holding a cat,1940,Works on Paper,"September 12, 2017",Christie's New York,Fine Chinese Paintings,"90,000","180,000","112,500",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6823142/Cat-and-Tiger-Lily-1979,Cat and Tiger Lily,1979,Works on Paper,"September 11, 2017",Bonhams New York,Twentieth Century Chinese Painting and Calligraphy,"25,000","40,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6803083/Amitabha-,Amitabha,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"87,780","117,040","148,055",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6803084/Ink-lotus-1974,Ink lotus,1974,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"102,410","131,670","159,832",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6803164/Chaoyindong-cave-of-Putuo-mountain-1962,Chaoyindong cave of Putuo mountain,1962,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"1,024,100","1,316,700","1,177,715",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6803174/Lotus-pond-1944,Lotus pond,1944,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"175,560","292,600","201,894",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Xie-Wuliang-6804891/Scholar-appreciating-bamboo;-Seven-character-poem-in-running-script-,Scholar appreciating bamboo; Seven-character poem in running script,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"55,594","73,150","80,757",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6805547/Visiting-a-friend-by-boat-,Visiting a friend by boat,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"160,930","190,190","201,894",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6805648/Portrait-of-court-lady-,Portrait of court lady,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"73,150","102,410","109,359",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6805649/Rock-and-plantain-,Rock and plantain,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"73,150","117,040","151,420",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6806520/A-medidating-schoalr-1968,A medidating schoalr,1968,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"43,890","58,520","50,473",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6808699/Grapes-1929,Grapes,1929,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"40,964","58,520","84,122",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6808700/Scholar-on-peak-with-pine-trees-,Scholar on peak with pine trees,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"21,945","26,334","25,236",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6808701/A-walking-old-man-,A walking old man,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"26,334","32,186","42,061",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6808702/Meeting-on-boat-1935,Meeting on boat,1935,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"26,334","32,186","30,284",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6808703/Amitabha-1930,Amitabha,1930,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"36,575","51,205","42,061",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Shanzi-6808704/Tiger-1921,Tiger,1921,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"29,260","43,890","45,426",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6790500/Bamboo-and-Prunus-1959,Bamboo and Prunus,1959,Works on Paper,"June 27, 2017",Bonhams San Francisco,Fine Asian Works of Art,"18,000","25,000","18,750",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6762911/[Untitled]-1956,[Untitled],1956,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","8,000","16,000","1,900",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763000/[Untitled]-,[Untitled],N/A,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","6,000","12,000",600,Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763002/[Untitled]-1952,[Untitled],1952,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","30,000","60,000","85,000",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763014/Imperial-Lady-1944,Imperial Lady,1944,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","5,000","15,000","15,000",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763029/Couplet-Calligraphy-1945,Couplet Calligraphy,1945,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","6,000","12,000","4,800",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763232/Two-Album-Page-,Two Album Page,N/A,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","4,000","8,000",300,Hammer
"http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763251/Grasshopper,-Calligraphy-","Grasshopper, Calligraphy",N/A,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","2,000","4,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763274/Couplet-Calligraphy-1945,Couplet Calligraphy,1945,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","10,000","20,000","10,000",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763338/Landscape-1946,Landscape,1946,Works on Paper,"June 18, 2017",Michaan's Auctions Alameda,Fine Asian Works of Art,"10,000","15,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763339/Landscape-1944,Landscape,1944,Works on Paper,"June 18, 2017",Michaan's Auctions Alameda,Fine Asian Works of Art,"40,000","60,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6763341/Scholar-in-Landscape-,Scholar in Landscape,N/A,Works on Paper,"June 18, 2017",Michaan's Auctions Alameda,Fine Asian Works of Art,"40,000","60,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6809613/Rafting-on-the-autumn-river-1942,Rafting on the autumn river,1942,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"117,440","146,800","278,553",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6809614/Shu-Shan-1960,Shu Shan,1960,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"704,640","851,440","1,283,032",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6809615/Narcissus-and-lotus-,Narcissus and lotus,N/A,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"29,360","41,104","33,764",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6809620/Chinese-cabbage-and-radish-1966,Chinese cabbage and radish,1966,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"22,020","29,360","52,334",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6809623/Yangling-torrent-,Yangling torrent,N/A,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"41,104","51,380",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6809625/Lotus-1948,Lotus,1948,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"73,400","88,080",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6809647/Taros-,Taros,N/A,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"17,616","23,488","43,893",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6812190/A-man-under-the-pine-1935,A man under the pine,1935,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"26,424","36,700","32,075",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6771310/Landscape-,Landscape,N/A,Works on Paper,"June 17, 2017",Clars Auction Gallery Oakland,"Asian, Furniture, Jewelry, Art","200,000","300,000","2,600",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6771363/Landscape-,Landscape,N/A,Works on Paper,"June 17, 2017",Clars Auction Gallery Oakland,"Asian, Furniture, Jewelry, Art","15,000","25,000","9,500",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6771364/Self-Portrait-,Self Portrait,N/A,Works on Paper,"June 17, 2017",Clars Auction Gallery Oakland,"Asian, Furniture, Jewelry, Art","6,000","9,000","6,000",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6771365/Lotus-,Lotus,N/A,Works on Paper,"June 17, 2017",Clars Auction Gallery Oakland,"Asian, Furniture, Jewelry, Art","6,000","9,000","8,500",Hammer
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6771368/Peonies-,Peonies,N/A,Works on Paper,"June 17, 2017",Clars Auction Gallery Oakland,"Asian, Furniture, Jewelry, Art","10,000","20,000",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815612/Peonies-1982,Peonies,1982,Works on Paper,"June 15, 2017",Waddingtons Toronto,Asian Art Online Auction,"1,132","1,509",362,Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6815613/[Untitled]-,[Untitled],N/A,Works on Paper,"June 15, 2017",Waddingtons Toronto,Asian Art Online Auction,603,754,"1,811",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6744466/A-beauty-with-censer-,A beauty with censer,N/A,Prints,"June 06, 2017",Stockholms Auktionsverk Stockholm,Fine Art & Antiques,"1,151","1,381",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792836/Landscape-,Landscape,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"88,140","117,520","92,914",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792837/Scholars-under-a-pine-1934,Scholars under a pine,1934,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"117,520","176,280",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792838/Landscape-1936,Landscape,1936,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"205,660","235,040",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792839/Beauty-1926,Beauty,1926,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"117,520","176,280","148,662",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792840/The-beauty-1938,The beauty,1938,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"440,700","587,600",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792841/Bamboo-and-scholar-1944,Bamboo and scholar,1944,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"58,760","88,140",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792842/Bamboo-and-scholar-1972,Bamboo and scholar,1972,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"176,280","293,800","202,722",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792843/Beauty-,Beauty,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"99,892","117,520",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792844/[Untitled]-1963,[Untitled],1963,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"176,280","293,800",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792845/Peony-,Peony,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"58,760","88,140",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792846/Peony-,Peony,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"102,830","132,210",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792847/Ancient-plum-blossoms-and-butterfly-1941,Ancient plum blossoms and butterfly,1941,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"73,450","117,520",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792859/Lotus;-Calligraphy-1946,Lotus; Calligraphy,1946,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"146,900","220,350","219,615",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6792860/Landscape;-Calligraphy-1939,Landscape; Calligraphy,1939,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"161,590","264,420",N/A,Bought In
